0,4524784.py,bruth,80,61,73,3,2010-12-08
1,207664884c93c4fa7d7c.py,lelandbatey,67,33,37,8,2012-07-12
2,4169164.py,jesseh,15,5,5,0,2010-02-07
3,5768245.py,ivanyu,59,9,46,80,2012-08-21
4,6625609.py,metatoaster,87,33,23,7,2010-08-23
5,1068868.py,jtrain,41,15,9,4,2011-04-03
6,26f547457522755cb1fb8739d0ea89a1.py,eevee,87,102,1057,0,2009-06-10
7,4117933.py,hltbra,70,66,272,115,2009-03-08
8,de261e66949009f44ad2.py,ExpandOcean,23,6,3,4,2013-05-01
9,10980172.py,pyos,29,5,94,1,2012-06-14
10,8335237.py,pauloalem,55,11,27,30,2010-06-30
11,6417872.py,ramalho,153,60,1850,14,2008-10-20
12,7b8afa9214b01c66bd594b328aca8f92.py,kerriop,22,5,2,2,2014-07-14
13,aa24d81a892ac3d0593b.py,yishaiSilver,3,5,0,2,2015-05-28
14,85fb43e40a7839e13405.py,lbenitez000,5,3,3,1,2012-04-06
15,2e003acd6f10b902d09e96b6f754d31a.py,x0rz,6,14,2606,0,2014-06-06
16,fb0c48d2462e3cc3c8e0.py,lsheble,9,21,4,20,2013-09-22
17,4643396.py,mywaiting,44,17,13,24,2010-12-22
18,5521548.py,mrjoes,27,51,405,1,2010-01-11
19,4536459.py,preshing,15,13,600,16,2011-07-26
20,d5e7f1460ea00376ab0a18577b18d475.py,OswaldoHacker,0,7,0,0,2017-12-11
21,9082229.py,Juanlu001,168,98,471,1020,2010-06-28
22,cf69187ee12394b78047.py,SalchiPapa,279,388,105,320,2013-06-02
23,1362a8908be01e23041d.py,pudquick,95,193,220,0,2011-07-19
24,67bc50fed5d4dc08b844d45479bebe75.py,kkweon,119,48,78,73,2012-12-06
25,517992b75bc56620cef2.py,cuu508,40,9,26,5,2011-03-10
26,309bed093f6a7084c855.py,chenryn,36,11,487,61,2011-11-25
27,c7ec9a30052127c7a1ad169eeb83f159.py,danijar,59,22,706,36,2012-08-07
28,ed884c433c495075f000.py,alexeygrigorev,64,24,236,0,2011-06-25
29,5415120.py,echohack,22,35,30,15,2013-01-12
30,044682e76def583a12e6c09209c664a1.py,bbengfort,133,221,398,113,2011-04-22
31,6701218.py,humanium,0,9,5,2,2012-03-31
32,6209913.py,onesandzeroes,22,9,0,0,2012-02-22
33,8265164.py,eastlakecoder,1,14,0,0,2014-01-05
34,6030453.py,dengemann,67,78,83,44,2012-06-30
35,579547.py,justinabrahms,126,63,500,90,2008-03-26
36,9716578.py,asarver,16,7,15,14,2011-07-05
37,1208215.py,Jach,34,23,14,6,2009-11-28
38,1106488.py,filippo,10,27,13,12,2008-05-25
39,2915875.py,wolever,97,134,264,9,2009-03-03
40,3691418.py,JaHIY,51,46,51,29,2011-04-16
41,63e115cc0c79b4f6b8b3a6b797e485c7.py,mdonkers,19,10,22,0,2011-08-02
42,c2694a1de478ec417ee8.py,cchurch,37,17,54,65,2010-10-06
43,16e35ed936bab863a29b.py,fsarradin,28,32,52,69,2010-09-10
46,3340802.py,lerks,25,11,28,5,2009-08-29
47,1a427e2f52444f45280f30215d5a92d9.py,JayH5,74,68,28,4,2012-05-17
48,3624478.py,THeK3nger,47,10,63,26,2009-09-30
49,a6eb692e5a0af7cc266b.py,tkanmae,14,19,3,0,2010-06-14
50,c437c65af2501acda9c7.py,atx,56,12,34,1,2013-03-25
51,8378133.py,philipnilsson,25,16,23,3,2012-08-06
52,5605160.py,benjaoming,124,11,109,53,2010-08-24
53,1381489.py,justinfx,29,61,203,8,2010-05-20
54,92cf03b78a6d8ec11d72.py,whitmo,173,130,77,45,2008-09-23
55,4682580.py,temporaer,46,6,39,1,2008-10-06
56,7407932.py,nairteashop,4,2,8,0,2011-10-28
57,092633087d56b8782bb003282e9a8950.py,ratulbasak,26,16,12,15,2015-08-26
58,85ad008aef5585cec017f4f1e6d67a02.py,wiseodd,16,6,808,0,2012-09-07
59,7804540.py,pfote,8,12,14,1,2009-10-03
60,d35ab8446922179dc58c.py,igrr,28,25,1268,2,2013-05-05
61,10335601.py,Rapptz,40,50,344,1,2012-05-01
62,0c7ccae5d764ff61788fc626096e5688.py,jcubic,83,33,105,0,2010-05-18
63,314085fffa200de9c3da.py,fchollet,8,10,8205,0,2011-04-05
64,234c3097f607a32f217178322bdf4e75.py,hayd,183,29,117,4,2012-07-06
65,11f0647d9bd747062e5d.py,pce,12,25,13,20,2010-10-19
66,1038987.py,codysoyland,64,23,143,96,2009-01-08
67,1729289.py,mrchilds,15,25,9,2,2011-01-20
68,a96698e3bf4a651daa674c32e4e8c3ac.py,ashkanRmk,24,17,118,20,2016-06-06
69,c97fe158082000ae06ad624527433de6.py,vladris,32,11,32,8,2011-11-06
70,c6de2f988c9d3f01af3c.py,robinkraft,44,128,36,10,2010-10-05
71,5e82d57c915efafa769f.py,temoto,65,60,72,36,2008-10-01
72,6616989.py,jneen,135,36,244,49,2010-03-18
73,1125832.py,bretthoerner,38,32,91,0,2008-02-29
74,ed148b2b1481f83f39c5.py,lapause,4,1,1,0,2012-11-17
77,4050951.py,omz,13,70,948,8,2009-05-08
78,2732076.py,sadimusi,31,23,25,7,2010-09-22
79,e50393d03c68fda6472b7fdb8df7d5ff.py,phrazzld,38,1,26,55,2011-05-14
80,98bdf28473f3fd1d2e27.py,achillean,13,22,334,3,2010-08-23
81,858851.py,kgaughan,69,136,52,45,2008-05-27
82,b502e5d864b283a3b493d27abfaf6ecb.py,liangliannie,23,52,7,10,2015-03-18
84,8f0be512821c8e646e60.py,nicholastjohnson,3,4,0,0,2012-10-15
85,1473120.py,flaviamissi,54,42,184,64,2010-10-19
86,9fc66c08f5d68ad486b4.py,tshirtman,84,662,156,22,2008-09-01
87,e71d6a6ccaa960964ac4.py,Sait2000,15,11,2,0,2012-10-06
88,db709c8c1279348e0638.py,pklaus,134,191,65,12,2009-05-17
89,29891675298b10c36bdf5ff3790f93b4.py,DmitryBurnaev,7,2,2,2,2017-07-01
90,8514907.py,cwebber314,18,22,1,0,2012-03-16
91,3373703.py,teepark,78,72,69,75,2008-11-29
92,ffd5eb9df5fde0655e67.py,orbitbot,56,21,21,1,2012-10-23
93,6407257.py,sloria,129,67,908,12,2012-09-19
94,87c9fe34a166591c3000.py,tomconte,84,43,47,9,2010-02-07
95,289814198f43976aff9b.py,hosackm,50,17,4,0,2011-03-13
96,443622de54589e31c1d98c6ea8eff84b.py,robcarver17,6,15,304,0,2015-06-15
97,b8462a8a1cb69f55d8356cbb0f3a4d63.py,CarlosGS,37,5,230,179,2012-04-12
98,2802185.py,ohsqueezy,2,8,1,0,2012-01-24
99,2930287.py,Alir3z4,72,101,52,0,2011-01-30
100,a526bddf953f5dea367e64fc2995b443.py,narate,60,40,53,10,2011-06-18
101,39c53f824daef7d363db.py,celoyd,9,60,125,0,2009-11-04
102,0755eb222de1f595e4e3a07a62db8702.py,icoxfog417,152,66,332,6,2011-01-02
103,4667205.py,fmasanori,11,116,979,1,2011-08-13
104,d6d714a4724c63d1fb5d2cd38eb79362.py,blaz-kranjc,9,6,13,19,2013-11-18
105,8969259.py,erichiggins,16,13,9,0,2010-12-02
106,798911.py,jacobian,39,133,2380,23,2008-08-19
107,d2d2f7dec6932d932fed.py,magicdawn,155,19,99,63,2013-04-05
108,6d799da1a393d59a0571cf3c94437c49.py,Justdoit2,16,33,1,0,2016-05-28
109,1288159.py,ibeex,31,20,7,0,2011-10-13
110,2550880.py,dndx,42,8,178,48,2011-10-16
111,9003090.py,thewellington,19,35,3,4,2011-07-09
112,5996074.py,larsmans,64,13,235,24,2010-07-18
113,5809279.py,SebastianJarsve,5,12,8,5,2012-11-09
114,2363c699e893c66ac7ed72da29804b0a.py,realcr,24,1,13,1,2013-08-18
115,1140516.py,troolee,16,8,64,13,2009-10-10
116,09a93e219a6ffc4f216fb85235535faf.py,quadrismegistus,14,3,61,27,2011-04-16
117,3684595.py,moird,17,6,7,9,2009-05-27
118,1488598.py,odiak,58,59,11,9,2010-04-25
119,830011.py,hugs,70,90,250,0,2008-04-26
120,3706203.py,tdack,18,35,3,2,2012-04-29
121,8a7297838593287195b0.py,chaudum,47,77,25,0,2010-05-19
122,4026444.py,pkqk,59,27,44,23,2008-04-05
123,67c7a6d77a6da0a56329.py,llekn,15,10,5,10,2012-09-14
124,5048768.py,ChrisBeaumont,76,52,252,2,2011-05-18
125,1706787.py,scotttam,14,16,12,12,2008-10-03
126,579207.py,tmc,321,51,343,242,2008-03-27
127,3b71a120ae7789956ef8.py,vanphuong12a2,15,5,6,4,2014-09-02
128,984fcf38dd90efbce94a.py,chrismetcalf,230,56,120,17,2008-08-08
129,b4da6ec84ba9c23c8e59.py,nicwolff,23,61,15,1,2008-04-03
130,763200.py,msabramo,921,181,132,83,2010-06-14
131,2872d7f994d192188970408980267e6e.py,hackerdem,23,31,2,0,2015-07-17
132,4448541.py,chadselph,52,23,41,14,2010-06-27
133,8426512.py,khelll,14,13,40,0,2008-05-26
134,10011921.py,nbortolotti,24,47,123,6,2011-07-03
135,6969554.py,zedshaw,29,13,3153,0,2010-08-09
136,54d0a8bf9f64ce2ec6b8.py,blixt,95,74,247,517,2009-11-26
137,1653394.py,mdellavo,59,167,12,0,2009-11-27
138,f7a69cdd33195168fb14.py,tastywheat,9,113,0,0,2012-09-09
139,5762777.py,georgevreilly,23,8,25,24,2008-11-13
140,f07fb4591739e13d70a5.py,andrewljohnson,18,6,44,82,2010-10-27
